time 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994
0.8205479 12.8 10.6 18.3 11.7 12.8 18.3 13.9 14.4 20 13.9 11.7 7.2 11.7 20.6 15.6 10 15.6 15.6 10.6 14.4 13.3 16.7 12.8 12.8 8.3 8.3 16.1 14.4 11.1 11.1 17.8 9.4 14.4 12.2 12.2
0.8232877 12.8 12.2 17.8 13.9 13.9 16.7 16.7 13.3 19.4 14.4 14.4 7.2 8.9 18.9 11.7 11.1 13.3 15 12.8 11.7 15 12.8 11.1 13.3 7.8 11.1 15.6 12.8 12.8 11.1 12.2 2.8 13.9 13.3 12.2
0.8260274 12.8 11.1 18.3 12.2 14.4 17.2 15.6 12.8 16.7 13.3 13.9 6.1 8.3 12.2 10.6 12.2 14.4 15 10.6 12.2 14.4 10.6 12.2 13.9 10 11.1 16.1 19.4 13.3 8.9 13.3 7.8 15.6 15.6 12.2
0.8287671 12.8 11.7 16.1 10.6 13.3 13.3 13.9 16.7 16.7 15 12.8 4.4 10.6 10.6 12.2 11.1 13.3 13.3 12.2 12.2 17.2 15 11.1 15.6 7.8 10 13.9 17.2 13.9 7.8 11.7 6.1 13.9 12.2 11.7
0.8315068 13.9 8.3 15.6 16.7 16.1 17.2 15 13.3 11.7 16.7 17.8 8.9 10 8.9 11.1 11.1 15 11.7 14.4 12.8 17.2 16.7 11.7 15.6 3.9 10.6 15 15 18.9 10 11.7 5.6 14.4 13.9 12.8
0.8342466 13.3 9.4 12.8 13.3 10.6 18.3 14.4 12.8 13.9 12.8 15.6 10.6 12.2 9.4 10.6 11.1 14.4 15 13.3 13.9 15 21.7 11.7 13.9 8.3 12.8 12.8 11.7 14.4 10.6 10 8.3 12.2 13.9 8.3
0.8369863 10 7.8 12.8 12.8 12.8 15 12.2 12.2 13.9 16.7 16.1 8.9 13.9 10.6 11.1 13.3 12.8 11.1 12.2 12.8 14.4 19.4 11.7 15 13.3 12.2 11.7 10.6 15.6 8.9 10 11.1 13.3 12.8 8.9
0.839726 11.1 9.4 12.2 14.4 12.8 17.2 11.7 12.8 12.2 14.4 16.1 10.6 15 8.9 12.2 18.3 15.6 6.7 11.1 13.3 16.7 12.8 16.1 13.3 10 11.7 10 12.8 13.3 12.8 10 9.4 11.7 12.8 7.2
0.8424658 12.2 10 15 10.6 12.8 12.8 11.7 13.3 12.8 14.4 17.2 8.3 12.2 6.1 14.4 19.4 15.6 12.8 11.1 12.8 20 11.1 11.1 13.3 12.8 10 10.6 14.4 12.8 12.8 11.7 13.3 11.7 NA 9.4
0.8452055 15 10.6 14.4 12.2 13.3 14.4 10 11.7 12.8 12.8 11.7 7.2 11.1 5.6 13.3 18.3 10 12.2 8.9 13.9 18.9 12.2 12.2 11.1 10.6 9.4 12.8 12.8 16.7 12.8 10 14.4 11.1 NA 10.6
0.8479452 12.2 11.7 16.1 7.8 9.4 13.3 11.1 13.9 11.7 12.8 16.1 8.9 11.7 8.3 12.2 10.6 12.8 10 12.8 17.8 15.6 11.1 8.9 10.6 11.1 9.4 10 12.2 10.6 10.6 10.6 11.7 13.9 NA 7.8
0.8506849 10.6 13.9 14.4 8.9 8.9 16.7 8.9 11.1 13.3 14.4 14.4 10 13.3 8.9 12.2 10 12.8 10 14.4 13.9 13.3 10.6 12.2 10.6 10.6 11.7 10.6 15.6 10.6 10.6 10 16.1 14.4 10 10
0.8534247 11.7 15 14.4 12.8 7.8 15 7.2 13.9 11.7 9.4 13.9 12.8 11.7 6.1 11.7 10 12.2 7.2 11.1 10 13.3 15 10.6 11.1 12.2 7.2 6.7 14.4 10 12.8 9.4 13.9 10.6 10 11.7
0.8561644 10 13.3 13.3 12.2 8.3 14.4 8.9 12.2 14.4 7.2 13.9 13.9 12.8 11.1 11.1 7.2 15.6 11.1 8.9 8.3 NA 12.8 10 12.2 10.6 8.3 6.1 15.6 12.2 15.6 12.8 12.8 8.9 7.8 10.6
0.8589041 11.7 13.3 12.8 12.2 7.8 11.1 10 12.8 12.8 10 11.7 13.9 14.4 15.6 12.8 7.8 12.2 15.6 7.2 9.4 11.7 17.8 8.9 16.7 10.6 6.1 3.9 16.1 10.6 13.3 14.4 12.8 9.4 10 10.6
0.8616438 12.8 10 11.7 12.8 9.4 13.3 10.6 11.1 13.9 10 10 8.9 14.4 16.1 13.3 8.9 12.2 17.2 6.1 8.3 10 18.9 8.9 13.3 8.9 5 5.6 13.9 10.6 8.3 17.2 15 8.3 6.7 8.9
0.8643836 11.7 11.7 13.3 12.8 8.3 10.6 11.7 13.9 10.6 11.1 11.7 10.6 11.1 13.3 14.4 12.8 12.8 13.3 5.6 9.4 9.4 12.8 4.4 12.8 14.4 6.7 8.3 13.3 9.4 7.8 17.2 14.4 8.9 8.9 8.3
0.8671233 8.9 11.7 12.2 14.4 7.2 12.2 14.4 15.6 6.7 9.4 11.1 14.4 10 8.9 12.2 15 9.4 11.7 7.2 10 10 12.8 6.7 12.8 8.3 8.9 6.7 10.6 11.1 8.3 12.8 9.4 12.8 10 9.4
0.869863 8.9 8.9 12.2 12.8 6.1 11.1 12.2 13.3 10.6 7.2 12.8 8.9 10.6 8.9 10 14.4 16.1 11.1 7.2 10.6 7.8 13.9 7.8 13.9 10.6 7.8 10.6 10 8.3 8.9 8.3 9.4 8.3 8.9 10.6
0.8726027 6.7 8.3 10 10 6.1 12.2 12.2 12.8 6.1 8.9 15 10.6 11.7 10.6 9.4 14.4 13.9 10.6 7.8 12.2 7.2 12.8 8.9 13.9 7.2 10.6 8.9 10.6 7.8 7.8 11.1 9.4 10 10.6 7.2
0.8753425 12.2 8.9 11.1 10 7.8 15 10 12.8 5 8.3 11.7 8.3 10.6 8.9 9.4 12.2 16.1 8.3 10 12.8 10 12.8 10 12.8 10 6.1 8.3 7.8 8.3 8.3 12.8 13.3 10 8.9 5.6
0.8780822 13.9 9.4 8.9 9.4 5.6 12.8 11.1 14.4 12.8 7.8 10.6 6.1 10 8.3 9.4 7.2 14.4 7.2 8.3 11.1 10.6 10.6 8.3 11.7 10.6 5.6 8.9 7.8 7.8 9.4 10.6 11.1 12.2 7.8 6.7
0.8808219 10 10 8.9 7.2 6.1 15.6 14.4 11.1 14.4 12.2 8.9 6.7 11.7 4.4 10 6.1 11.7 5 5.6 9.4 12.8 12.8 9.4 11.7 12.2 5 12.8 8.3 7.8 11.7 7.2 11.7 11.7 7.8 4.4
0.8835616 9.4 5.6 14.4 6.7 3.3 12.8 16.1 11.1 16.1 13.9 8.9 11.1 10.6 6.1 11.7 6.1 10 4.4 1.1 10 12.2 12.8 7.8 8.3 10 0.6 11.7 13.3 8.9 11.7 6.7 11.7 9.4 9.4 8.3
0.8863014 8.3 3.9 13.3 5.6 3.9 11.1 16.7 9.4 13.9 13.3 7.2 12.8 12.2 7.2 13.3 8.9 11.1 2.2 5.6 10 12.8 15 6.7 8.3 8.3 0.6 11.1 15.6 11.1 11.7 5 9.4 8.9 10 7.8
0.8890411 6.1 6.7 8.9 6.1 6.7 8.9 9.4 8.9 12.8 11.7 5 11.1 9.4 5 12.2 10.6 10 1.1 4.4 13.3 12.2 11.7 4.4 9.4 8.3 -2.2 10 11.7 10.6 10 9.4 8.3 9.4 8.3 6.7
0.8917808 7.2 8.3 8.3 10.6 11.1 8.9 8.3 10 11.7 11.1 0 8.3 10 4.4 8.3 8.9 9.4 1.1 4.4 10 7.2 10 3.3 7.8 9.4 -2.8 9.4 10 11.1 9.4 11.1 8.3 10 -0.6 9.4
0.8945205 9.4 8.9 10.6 11.1 11.7 8.9 10 10 11.7 10.6 11.1 10 11.1 4.4 12.8 11.7 7.8 7.8 2.8 8.3 6.1 9.4 6.7 8.9 12.8 -3.9 12.8 12.2 6.7 10 12.2 10.6 6.7 -0.6 6.7
0.8972603 9.4 7.2 11.1 10.6 10 7.2 10 10 8.9 10.6 8.3 10 10 7.2 15 10 10 9.4 10 4.4 7.2 7.2 6.1 12.8 6.1 0.6 9.4 12.2 3.9 7.8 8.9 11.7 5.6 1.1 9.4
0.9 10 4.4 13.9 12.8 7.2 6.1 10.6 7.2 8.9 11.1 6.1 8.9 8.9 7.2 13.9 8.9 8.3 15 7.8 6.7 10 7.8 4.4 7.8 6.7 -4.4 10.6 10.6 6.1 7.8 6.1 10.6 9.4 3.3 9.4
0.9027397 8.3 8.9 10 11.7 5.6 6.7 9.4 6.1 9.4 8.9 5.6 11.1 10 7.2 7.2 7.8 6.1 13.3 6.1 5 13.9 10 8.9 8.9 7.8 -5.6 11.1 10 6.1 8.3 6.1 7.8 10.6 5 6.1
0.9054795 8.9 11.7 7.8 8.9 3.3 10 12.8 7.2 10 8.9 7.2 8.9 7.2 12.8 8.9 5 6.7 8.9 7.2 5.6 11.1 9.4 -3.9 8.3 8.9 -8.9 10.6 10.6 8.9 11.1 8.3 7.2 11.1 5.6 8.9
0.9082192 8.3 11.1 7.2 6.7 7.2 10.6 12.8 7.2 12.2 9.4 3.3 8.9 12.8 10 8.3 3.9 6.1 11.1 6.7 10 10.6 4.4 11.7 7.8 8.3 -5 7.8 3.9 7.2 12.8 9.4 10 8.9 11.7 6.7
0.9109589 11.1 14.4 7.2 8.9 12.8 11.1 12.8 7.2 7.2 3.9 4.4 7.8 6.7 10 10.6 2.2 6.7 10 7.2 7.2 8.9 7.8 10 6.7 6.7 -3.9 6.7 8.9 9.4 8.9 7.8 6.1 7.8 12.2 12.8
0.9136986 12.2 11.7 6.1 7.8 12.8 11.7 12.2 6.1 5.6 6.7 6.1 8.9 9.4 10 11.7 5.6 6.7 7.2 7.8 8.3 6.1 9.4 11.1 7.2 7.8 -3.3 9.4 11.7 7.8 10 4.4 5.6 10 8.3 12.2
0.9164384 12.8 12.8 7.2 8.3 10.6 11.1 11.7 8.3 6.1 8.3 5 12.8 9.4 11.1 10 11.1 2.8 10 6.1 8.9 6.1 9.4 8.9 4.4 6.7 -1.7 8.9 11.7 15 12.2 6.1 10.6 5 12.2 7.2
0.9191781 10 10 7.8 8.3 10 13.9 11.1 8.9 10 9.4 5.6 10 7.2 8.9 13.3 12.8 3.9 12.8 8.9 9.4 5 11.1 13.3 1.7 5.6 4.4 7.2 12.8 7.8 14.4 8.3 8.3 8.9 10.6 5
0.9219178 8.9 8.9 7.8 3.3 8.3 13.9 11.7 8.3 10.6 8.9 4.4 4.4 2.2 8.9 12.8 12.8 2.8 10 8.9 13.9 6.1 9.4 13.9 3.9 5.6 8.3 6.1 12.8 11.7 15 11.7 10.6 6.7 13.9 1.1
0.9246575 6.1 10 6.7 11.7 7.8 12.8 7.8 8.3 9.4 8.9 3.3 7.2 -1.1 7.2 10 10.6 5.6 7.2 7.2 11.1 3.9 12.8 9.4 5.6 5 10.6 3.9 8.9 12.8 13.3 8.3 10 7.8 9.4 1.1
0.9273973 7.2 7.8 12.8 11.1 5 13.3 7.8 5.6 6.1 6.7 11.7 7.2 0.6 9.4 11.1 7.2 6.1 8.9 6.7 8.9 0 12.2 6.7 3.3 6.7 10.6 5 13.9 11.1 11.7 8.3 12.8 7.2 7.2 3.9
0.930137 6.1 5.6 11.1 8.3 12.2 13.9 NA 8.3 7.2 8.9 13.3 6.7 -1.7 14.4 11.1 3.3 10 10.6 5.6 9.4 -1.1 10.6 7.2 5 7.8 10 2.8 13.9 12.2 9.4 9.4 10 7.8 8.3 5
0.9328767 7.2 5 13.3 5.6 11.1 11.1 4.4 6.7 11.1 6.7 9.4 3.9 -3.9 12.2 11.1 6.7 11.7 8.3 2.8 9.4 -1.1 10 4.4 6.1 10.6 9.4 2.8 10 8.9 13.3 12.8 8.3 7.8 8.9 3.9
0.9356164 6.7 5.6 11.1 6.7 10 10.6 4.4 8.3 10.6 6.7 8.3 8.3 -2.2 8.9 10 12.2 11.7 1.1 4.4 9.4 1.7 10 4.4 8.9 7.8 6.7 6.1 9.4 9.4 8.9 12.8 10 9.4 11.1 6.1
0.9383562 6.7 4.4 9.4 7.2 8.3 8.3 4.4 11.7 8.9 9.4 7.8 4.4 -0.6 6.1 11.1 10.6 9.4 6.7 6.7 11.1 8.3 12.8 6.7 6.7 5 3.3 6.7 12.8 10 9.4 8.3 9.4 7.2 13.9 6.7
0.9410959 10.6 1.7 7.2 4.4 8.3 8.3 12.8 10.6 7.2 6.7 10.6 4.4 0 13.3 11.1 8.9 11.1 12.2 10.6 6.7 10 7.2 7.8 9.4 4.4 3.9 6.7 8.3 10 6.7 6.7 7.2 4.4 15 9.4
0.9438356 11.1 0.6 7.2 3.9 5.6 6.1 12.8 10 7.8 12.2 10 3.9 0 11.7 10.6 3.3 11.7 10 8.9 7.2 10.6 7.2 10.6 8.3 3.9 5.6 2.8 8.3 10 5.6 7.2 7.8 5.6 11.1 9.4
0.9465753 15.6 1.7 7.8 6.1 7.2 6.1 13.9 6.1 6.7 11.1 5.6 5.6 0 10 8.3 2.2 11.1 11.1 6.1 7.8 8.9 5.6 11.1 8.9 3.9 5 7.2 5 12.8 4.4 6.1 10 6.7 8.9 8.3
0.9493151 15 2.2 13.3 2.8 6.7 4.4 12.8 4.4 10 15.6 8.3 4.4 1.7 8.3 8.3 4.4 10.6 12.8 8.3 10.6 10 8.3 8.9 8.9 6.1 3.9 10.6 3.9 7.8 6.1 5.6 3.9 9.4 11.7 6.1
0.9520548 9.4 3.3 16.7 6.7 5.6 3.9 12.8 1.1 12.8 12.2 7.8 6.1 2.8 7.8 9.4 5.6 14.4 12.8 8.9 10 13.3 10 10 7.2 7.8 3.9 9.4 3.9 6.7 2.8 8.3 3.9 8.9 8.9 6.1
0.9547945 6.1 5.6 16.7 7.2 1.7 0.6 13.3 4.4 10.6 10 8.9 5 6.7 12.8 8.9 6.1 15 11.1 6.7 9.4 17.2 7.2 12.8 7.8 2.8 7.2 8.3 2.2 5 6.7 4.4 3.9 5 9.4 8.3
0.9575342 4.4 5.6 12.2 7.2 -1.1 3.3 12.8 3.3 7.8 8.3 7.2 8.3 11.7 11.1 14.4 3.9 13.9 9.4 6.7 11.1 11.1 8.3 12.2 4.4 0.6 7.2 7.8 4.4 6.7 2.2 3.9 3.3 5 6.7 11.1
0.960274 7.8 6.1 10 5.6 -5 6.7 12.8 3.3 6.1 10.6 10 8.9 12.8 7.2 8.9 5 12.2 7.8 8.3 13.9 7.8 9.4 8.9 2.8 -1.7 7.2 7.8 3.3 7.2 1.7 10 8.3 2.8 5.6 13.9
0.9630137 12.2 4.4 10 12.8 0.6 8.9 11.7 4.4 4.4 12.2 4.4 8.3 13.9 9.4 10.6 5.6 9.4 5 4.4 13.9 8.9 11.1 9.4 1.7 0 4.4 5.6 3.3 6.1 2.8 5 8.9 1.1 4.4 12.8
0.9657534 10.6 11.1 9.4 11.1 4.4 10 12.2 0 4.4 11.1 4.4 5.6 12.2 13.9 8.9 4.4 11.7 5.6 4.4 12.2 6.7 10 7.8 0.6 0 6.7 11.1 6.1 5.6 6.7 -6.1 8.3 6.7 5 13.3
0.9684932 8.3 11.1 8.9 8.9 3.3 8.9 10.6 0.6 1.7 11.1 3.9 4.4 13.3 13.9 12.8 3.3 8.9 7.2 5.6 12.8 12.8 8.9 6.7 -3.3 2.8 0.6 9.4 1.7 6.7 8.9 -7.2 11.7 6.7 3.9 13.3
0.9712329 9.4 11.7 10.6 10 2.8 8.9 8.3 7.8 1.7 10.6 2.8 5 13.3 10 12.2 10 7.8 5 6.7 8.9 13.9 7.2 9.4 -3.9 4.4 1.7 14.4 6.1 6.7 6.7 -7.2 10.6 7.8 1.7 11.1
0.9739726 6.7 10 5.6 11.7 1.7 5.6 11.1 11.1 5.6 10 3.9 8.3 11.1 8.3 5.6 8.9 8.3 5.6 8.3 7.8 11.7 6.1 6.7 -5 6.1 4.4 12.8 6.1 6.1 8.3 -4.4 9.4 10 6.1 13.9
0.9767123 7.8 12.2 5.6 14.4 5 2.2 8.9 11.1 11.7 8.9 2.2 7.2 9.4 8.3 5 11.1 8.3 8.3 9.4 7.2 12.2 6.1 5.6 -4.4 6.7 3.9 10 3.3 6.1 11.1 -3.3 10.6 9.4 2.8 11.1
0.9794521 6.7 11.1 4.4 18.3 1.1 3.3 7.2 10 10.6 7.8 3.3 3.9 11.1 8.9 6.7 12.8 5 4.4 8.9 11.1 12.8 7.2 10.6 -2.2 3.9 5 10 1.1 5.6 9.4 0 12.8 9.4 6.1 11.7
0.9821918 7.2 4.4 3.9 11.7 7.8 2.8 6.7 10 8.3 7.2 5.6 -1.1 10 6.7 8.3 12.8 10 4.4 4.4 10.6 16.1 6.1 8.9 6.1 4.4 5 11.1 3.3 6.7 4.4 0 15.6 4.4 1.1 10.6
0.9849315 8.3 7.2 2.8 7.8 7.2 3.9 6.1 8.9 3.3 6.7 4.4 -1.1 10 5.6 5.6 13.9 12.2 6.7 3.3 11.1 17.2 3.3 5 5 3.9 1.1 10.6 6.1 3.3 3.9 3.9 16.1 7.2 0 10.6
0.9876712 6.7 3.9 6.1 11.7 6.1 8.3 3.3 8.9 2.2 5.6 7.2 -1.1 9.4 6.7 6.1 8.3 11.1 6.1 5.6 10 13.3 3.9 3.9 1.1 3.9 0 11.1 3.3 5.6 5.6 6.1 14.4 5 2.8 13.3
0.990411 2.2 11.7 7.8 9.4 3.3 1.7 8.3 8.3 -6.7 6.1 7.8 -1.1 6.1 7.2 5 11.1 8.9 2.8 0 10 12.8 3.3 5.6 7.2 1.1 0.6 13.3 6.1 4.4 5 -1.7 12.2 1.1 2.8 8.9
0.9931507 0 11.7 10.6 7.2 2.8 5.6 8.9 6.7 -11.7 6.1 5.6 1.1 7.2 5 5.6 13.3 12.8 3.9 -4.4 8.3 12.2 5 3.9 8.9 1.1 5 11.1 6.7 10.6 6.1 -5 11.1 -0.6 8.3 6.7
0.9958904 5 11.1 11.7 14.4 1.1 3.9 7.8 5.6 -7.8 6.7 8.9 5.6 7.8 4.4 7.2 8.9 8.3 6.7 -5 10.6 11.1 3.3 3.3 7.8 -1.7 2.8 9.4 4.4 11.1 7.8 3.3 13.9 -3.3 11.1 7.2
0.9986301 5 8.9 11.1 15 3.9 3.9 8.3 6.7 3.9 6.1 7.2 6.7 6.1 4.4 8.9 6.1 7.2 2.8 -6.1 11.7 10 3.9 1.7 NA -3.3 6.7 10.6 4.4 6.1 8.3 5 8.3 -2.2 11.7 9.4
