time 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994
0.09178082 28.3 28.9 28.3 27.2 27.2 20 24.4 27.8 26.1 24.4 27.8 26.7 27.2 26.1 27.8 25 25.6 26.7 27.2 26.7 26.7 30 25 26.7 26.1 28.9 27.2 25 27.8 22.2 26.7 26.7 22.8 24.4 26.1
0.09452055 27.8 28.3 27.8 27.8 26.7 21.1 23.3 26.1 26.7 26.7 27.8 27.8 27.2 25.6 26.7 26.7 27.2 27.8 27.8 26.7 27.2 28.3 26.7 27.8 27.2 28.9 28.3 25.6 27.8 21.7 26.1 28.3 23.3 26.7 24.4
0.09726027 28.3 30 28.9 27.8 28.3 23.9 24.4 25.6 26.1 28.9 26.1 27.2 26.7 26.1 26.1 25 27.8 27.2 27.8 22.2 29.4 23.9 25.6 28.9 25 30.6 26.1 23.3 28.3 26.1 30 28.9 23.9 27.2 25.6
0.1 26.1 27.2 27.2 26.7 27.8 25 26.1 26.7 26.7 28.9 24.4 27.2 25 25.6 27.8 25 26.7 27.8 27.8 25 27.2 25 25.6 28.9 25.6 30 26.7 25 28.3 27.8 27.2 29.4 24.4 24.4 25.6
0.1027397 28.9 27.8 26.7 27.8 27.2 23.3 23.3 28.3 23.3 28.9 26.1 27.8 25.6 26.7 27.8 25.6 25.6 28.9 27.8 28.9 28.3 26.7 25.6 26.7 27.2 30 28.3 25 26.1 26.7 25 28.9 24.4 25.6 26.1
0.1054795 27.8 26.7 24.4 28.3 26.7 21.7 22.2 27.2 26.1 28.3 25 29.4 26.1 23.9 26.7 25.6 22.2 27.8 25.6 26.7 31.1 26.7 26.1 27.8 25.6 30 27.2 27.8 27.2 26.7 25 28.3 25 25 26.1
0.1082192 29.4 22.8 25.6 28.3 25.6 23.9 24.4 26.1 24.4 27.2 27.2 28.9 26.1 25 26.7 26.1 26.7 28.9 26.1 23.9 29.4 25.6 25 27.2 27.8 28.9 28.3 26.1 28.3 28.3 25.6 27.8 25 25 28.3
0.1109589 27.8 22.8 26.7 25.6 27.2 23.3 25 26.7 24.4 27.2 23.3 28.3 26.7 25.6 26.1 25 27.2 28.9 28.9 23.9 28.9 27.2 25.6 26.1 29.4 28.9 27.8 27.8 27.8 25 26.1 28.9 25 28.9 28.9
0.1136986 24.4 24.4 27.2 25 26.7 22.8 25 27.8 25.6 28.9 26.1 28.3 26.7 26.1 26.1 21.7 27.2 28.3 28.9 23.9 27.8 27.2 25 26.1 29.4 28.9 27.8 27.2 26.1 25.6 25 29.4 25 27.8 28.9
0.1164384 22.2 26.1 26.7 26.7 27.8 23.3 27.8 27.8 26.1 27.8 26.7 28.9 25 27.8 26.1 23.9 26.7 28.9 29.4 23.9 27.8 29.4 26.7 27.2 30.6 30 29.4 27.2 27.2 27.8 25.6 28.3 25.6 27.8 26.1
0.1191781 25.6 26.1 26.7 23.3 26.7 23.9 27.2 27.2 24.4 28.3 26.7 29.4 27.2 26.1 27.2 26.7 26.7 28.9 29.4 23.3 25 30 28.3 27.8 29.4 25.6 24.4 22.8 27.2 27.8 27.2 25.6 28.3 24.4 31.1
0.1219178 26.7 25.6 28.3 26.7 25.6 24.4 26.7 27.2 26.1 22.8 23.3 29.4 27.8 27.8 29.4 27.8 26.1 28.3 29.4 23.9 26.7 29.4 28.9 26.7 28.9 30 26.7 21.7 26.7 26.7 27.8 27.2 24.4 24.4 26.1
0.1246575 27.2 27.2 27.2 28.3 26.1 25 25.6 27.8 25.6 20.6 23.3 28.3 28.3 29.4 28.9 28.3 25.6 27.8 28.9 25 26.7 31.1 27.8 27.8 25.6 28.9 25.6 25.6 27.8 27.8 28.9 28.9 26.7 25 25.6
0.1273973 25.6 25.6 24.4 27.2 26.7 24.4 22.8 27.8 25.6 23.3 25 30 28.9 28.3 28.9 26.7 26.1 27.2 30 24.4 28.3 29.4 27.8 28.9 28.3 26.7 26.1 25 26.7 27.2 27.8 28.9 27.8 25.6 27.8
0.130137 26.1 24.4 26.1 26.7 27.8 23.3 25.6 27.8 24.4 25 26.1 28.9 26.7 28.3 29.4 26.7 26.7 28.3 28.3 25 25.6 29.4 28.9 26.7 28.9 28.9 25.6 25.6 27.8 28.3 26.7 30 26.7 25.6 28.3
0.1328767 27.2 26.1 27.2 25.6 27.2 25 22.2 27.8 25.6 26.1 26.7 29.4 20.6 28.9 30 27.2 26.7 26.7 26.7 23.3 26.1 30.6 29.4 29.4 27.8 28.3 25 25.6 28.9 28.3 23.3 29.4 28.3 27.8 27.8
